Property,application_count,bedrooms,price_num,applicant_median_lon,applicant_median_lat,property_longitude,property_latitude,median_age,mean_age,min_age,max_age,median_distance_miles,avg_distance_miles,min_distance_miles,max_distance_miles
1 Harvest Drive Unit 110 ~ North Andover,18,1.0,196451.0,-71.07257325,42.60281645,-71.0573137,42.6236476,30.5,33.94444444444444,23.0,71.0,8.58778000295251,12.341241748541794,3.5236654927513933,70.35257639232083
"1 Magnolia Way, Unit 6 ~ Edgartown",18,1.0,222035.0,-70.5684337,41.4536222,-70.5270038,41.3946786,38.5,44.888888888888886,27.0,76.0,4.600407990280461,7.952221117247,0.8126430415353658,77.13768651611768
"2 Harvest Drive, Unit 110",18,,189900.0,-71.07993455,42.6028742,-72.4278753,42.1699083,27.5,29.071428571428573,22.0,42.0,74.35427642874777,74.66623378180456,50.352197057939144,95.86926609642056
27 Meetinghouse Road ~ Norfolk (age restricted),17,2.0,258503.0,-71.24884445,42.3554334,-71.1148886,42.1777324,61.0,63.11764705882353,56.0,78.0,13.804313793740496,26.054654925473145,3.846576887576532,81.4309498660075
West Boylston - 103 Afra Drive Unit 51,17,3.0,201820.0,-71.8018877,42.2625621,-71.7750625,42.3446095,43.0,41.411764705882355,22.0,61.0,5.82824574323953,11.421440491071035,1.6862176123637795,42.690458161899535
"105 Metacomet Ave, ~ East Taunton",16,,323958.0,-71.0183787,41.99524065,-71.028435,41.8827727,36.0,41.3125,30.0,65.0,13.864280558875077,14.276108351100834,3.579349725266186,32.67628340167838
30 Ciderpress Way,16,,241100.0,-71.0994968,42.630539,-71.071083,42.6852139,59.0,62.23076923076923,55.0,77.0,14.223667464200407,21.067022968171003,3.274281798881131,101.26118358426407
"41 Boston Road, Unit 233",16,,213200.0,-71.1793624,42.5154232,-71.3139116,42.6229665,29.5,39.333333333333336,26.0,68.0,10.136063200233798,11.175366780333485,5.008158851138525,22.73167575797895
"5 Woodman Way, #308B ~ Newburyport",15,2.0,240400.0,-70.9362957,42.6414437,-70.911264,42.820288,39.0,39.8,21.0,72.0,15.590162979635942,17.79429202924316,2.0794870724023666,64.93720376046286
15 Corn Mill Way,15,,295471.0,-71.0683741,42.2973205,-70.8969477,42.1336363,41.0,43.714285714285715,27.0,65.0,14.496802737012025,14.678883683841038,5.924791809648592,24.083932193519068
7 Buttercup Lane ~ Grafton,15,2.0,233923.0,-71.5164618,42.2063399,-71.6485065,42.1675434,32.0,34.266666666666666,19.0,59.0,11.592221432695213,16.960712973964284,3.276525525176735,36.51874208571409
"513 Main St, Unit D ~ Groton",15,2.0,197739.0,-71.5745402,42.5595807,-71.588179,42.6225827,34.0,34.4,23.0,54.0,14.790038604286067,14.767042137692608,0.5493476036097578,34.50576276877835
18A Longview Circle ~ Ayer,15,,266536.0,-71.3517602,42.5464828,-71.5347218,42.5539175,36.0,38.06666666666667,25.0,54.0,12.987866008426135,14.237320843141635,1.6141272466678618,29.39489503546604
16 Tulip Circle ,14,,185182.0,-71.55235895,42.234451,-71.6471609,42.1700649,30.5,32.5,23.0,46.0,19.070080238348645,23.313868752844957,3.177669095926746,100.53643349900025
1 Lois Lane ~ Townsend,13,3.0,338250.0,-71.3085329,42.5854371,-71.687818,42.6680231,34.0,36.84615384615385,23.0,64.0,19.347058519818574,26.52417045313232,5.681874098650993,81.014066514556
"1 Rocky Point, Carlisle",13,,233433.0,-71.1408776,42.3834278,-71.3488775,42.5376969,36.0,37.77777777777778,26.0,56.0,16.437600437002484,15.940471254202988,4.310340831981939,26.487658725515395
23 Buttercup Lane ~ Grafton,12,2.0,222400.0,-71.7234384,42.2625621,-71.6484447,42.1689069,36.0,35.833333333333336,25.0,46.0,10.167717103641392,13.053790857276665,3.201871547077565,35.832915398867584
"180 Chickering Road, Unit 307C ",12,,148438.0,-71.1408776,42.6414437,-71.1234425,42.6838775,37.5,40.083333333333336,28.0,66.0,9.843690300983049,13.83016007041473,2.045449292602047,50.81460131058164
1205 Albion Road ~ Bedford,12,1.0,269787.0,-71.1956111,42.4982734,-71.2492226,42.5224986,28.5,34.166666666666664,23.0,67.0,6.133885385893634,11.798070713759913,2.6947757267760575,33.41810692688711
16 Cobblestone Way ~ Sandwich,10,3.0,322000.0,-70.4968152,41.7579043,-70.4627267,41.7167568,43.0,41.4,28.0,54.0,4.075739634069892,15.383496705568874,3.3400747353323346,53.70571475622456
1 Millbrook Lane ,10,,193979.0,-71.0362529,42.4648183,-71.0553947,42.5005422,32.5,36.0,27.0,53.0,5.130973722166202,7.79538184845313,2.640169564862393,28.542947007608337
28 Groveland Commons Way,10,,180800.0,-71.0542968,42.6260458,-71.0241391,42.7686666,,,,,16.07403467158403,23.9262243029505,0.7208701851445389,112.94122808711269
"15 Goldenwood Drive, Unit 35",10,,236100.0,-71.08312465,41.978641100000004,-71.2163129,41.938109,33.0,33.0,33.0,33.0,12.679979035828106,13.40901163824486,2.4867694165922467,38.96872478799387
"4 Kingson Lane, Unit 5",9,,183300.0,-71.3967256,42.1417641,-71.444274,42.1466211,42.0,47.666666666666664,26.0,71.0,7.892042941193285,13.874600950810681,2.457192540403424,66.91945800685636
"6 Woodman Way, unit 204A ~ Newburyport",9,1.0,307200.0,-70.9286609,42.65717,-70.8719271,42.8116592,32.0,35.888888888888886,30.0,58.0,17.315248691528936,13.079893547192482,0.0,19.804628658139094
13 Dunrobin Circle ~ Methuen,9,2.0,294969.0,-71.0767724,42.7262016,-71.2375848,42.7159341,58.0,61.888888888888886,57.0,72.0,9.20440271157742,10.335097965615283,2.472297874838497,21.99644880679676
24 Water Wheel Circle ~ Templeton,8,2.0,188284.0,-71.803245,42.49117175,-72.0757458,42.5836718,32.5,32.25,19.0,50.0,16.97611278022726,17.82539762038701,1.9757607708602551,30.77307507484089
3 Junction Lane,7,,287000.0,-70.8781883,42.5489744,-70.8216313,42.6211234,39.5,40.666666666666664,22.0,69.0,5.751714304701256,10.723373180336209,5.751714304701256,24.77357990845107
"81 Salem Rd, Unit 73",7,,287900.0,-71.268947,42.5584264,-71.2650752,42.5718678,33.0,36.142857142857146,24.0,52.0,3.102992939096854,8.693519975360328,0.9487199319630565,25.852014525424288
501 Commerce Drive Unit 1-116 ~ Braintree,7,1.0,263215.0,-71.0037374,42.2509914,-70.973677,42.194028,30.0,33.285714285714285,24.0,52.0,4.222711703839918,7.40536342193517,2.4061279161747904,18.871463223957253
"2 Harvest Drive, Unit 104",7,,177900.0,-71.13589465,42.52370115,-72.4278753,42.1699083,44.0,44.0,32.0,56.0,74.68678651565075,74.51414637340592,67.00742580258479,81.77980390104305
"47 Turtle Brook Road, Unit 28-2",7,,224255.0,-71.1244963,42.1584324,-71.102744,42.1691304,39.0,40.142857142857146,27.0,56.0,6.076745077924368,6.383974752613649,2.2742758011421254,17.364656624527274
"19 Broad Street, 204 ~ Merrimac",6,,214303.0,-71.13302725,42.46328965,-70.9989389,42.8323401,26.0,26.666666666666668,19.0,34.0,27.26956405688585,29.11902397321715,20.408020747016362,39.54200507481979
33 Intrepid Circle ,6,,291200.0,-70.8976695,42.48501005,-70.8544365,42.5101138,42.0,40.0,27.0,45.0,3.586521514426259,5.813636943945351,0.7128655419738358,14.978128884789099
8 Ciderpress Way,6,,241000.0,-71.08813459999999,42.50305335,-71.0713371,42.6855549,60.0,61.333333333333336,59.0,65.0,20.31714546734402,19.031659310034392,6.373866716123474,26.51874360144778
"4 Harvest Drive, Unit 212",6,,164900.0,-71.13589465,42.5682159,-70.527047,41.5888191,64.0,61.0,32.0,77.0,74.7608577626033,70.88989641257727,36.797539743632946,86.77600661792928
"3 Harvest Drive, Unit 105",6,,164900.0,-71.13589465,42.50264575,-70.6665834,41.9402429,64.0,59.4,28.0,76.0,50.637761152537436,62.62303055339462,38.01202309549482,133.95530625470445
3 Dickens Lane,6,,242300.0,-71.19068175000001,42.47153945,-71.4163475,42.661132,62.0,61.2,56.0,66.0,18.307410178096013,16.475246833504993,5.641289747465457,26.974885912121714
"63 Central St., Unit 203 ~ North Reading",6,2.0,258905.0,-71.08520014999999,42.4848175,-71.0916392,42.5770231,58.5,58.5,55.0,61.0,8.873440975013642,9.115564798976951,3.560268453267648,15.681438781874375
13 Coppersmith Way ~ Townsend,5,2.0,240000.0,-71.5882561,42.3554334,-71.6888879,42.6687164,36.0,41.75,25.0,70.0,28.627532703306162,42.177215230370884,8.85035907856897,125.69218218912908
6 Dino Way Unit 50,5,,183800.0,-71.3967256,42.2000966,-71.4938738,42.1243793,,,,,6.319457524637441,12.594285668670505,1.7237612470406305,36.49393740944091
2 Nancy Anne Lane ~ Merrimac (55+),5,,294764.0,-71.04118435,42.7689304,-71.0024277,42.8336778,57.0,57.4,32.0,73.0,9.438125878301783,12.132472378518088,4.027222502536449,25.62641525493234
"6 Woodman Way, Unit 317A",5,,257400.0,-70.9300921,42.8116592,-70.910287,42.8208196,30.0,37.2,28.0,62.0,2.9221904607880407,10.694111806794625,2.0431826840493557,36.80970149583446
"1 Ashley Lane, Unit 50",5,,262900.0,-71.1736669,42.6414437,-71.2339065,42.7170123,61.0,64.0,57.0,74.0,6.447689828208531,10.793634668049021,5.314560743969453,23.766422788017845
"170 Haverhill Street, #117 ~ Andover",5,1.0,227298.0,-70.9494939,42.466763,-71.1309265,42.6748249,34.0,33.8,30.0,37.0,17.0728245879582,16.78956875885536,1.3195355219801344,39.17455722751819
1301 Albion Road,5,,231700.0,-71.1956111,42.4792618,-71.2484717,42.5230115,50.5,49.75,35.0,63.0,5.753521805252479,6.3904402842034305,2.969156089135166,10.15528721959555
"Groton, 503 Main",5,,183435.0,-71.3085329,42.6414437,-71.5877295,42.6221485,42.0,38.2,25.0,46.0,14.245069439051543,17.569887926805855,14.245069439051543,27.136874109721894
52 Shire Road ~ Leominster,4,2.0,268884.0,-71.29765935,42.37828975,-71.732408,42.5018411,44.0,46.25,38.0,59.0,25.965638366005404,23.169992253014343,2.2687095007738103,38.479982779272746
"250 Main St, Unit 410 ~ Hudson (age restricted) (first come, first served)",4,2.0,294561.0,-71.5676895,42.3913503,-71.5618299,42.3918807,60.0,60.0,60.0,60.0,0.3010380908921941,0.3010380908921941,0.3010380908921941,0.3010380908921941
"63 Central St., #107 ~ North Reading (55+)",4,2.0,276434.0,-71.0786653,42.5750939,-71.0916392,42.5770231,67.0,68.25,60.0,79.0,2.054001539935304,4.316533464861779,0.6729531509596568,12.485177628616851
"33 Intrepid Circle, Unit 305 ~ Marblehead",4,2.0,311305.0,-71.07768469999999,42.387100149999995,-70.8544365,42.5101138,39.5,39.0,29.0,48.0,15.661177397594052,13.07217519276697,0.7128655419738358,20.25348043390594
"16B Longview Circle, Unit 68",4,,242100.0,-71.0686417,42.57145405,-71.5347218,42.5539175,34.0,38.0,27.0,53.0,27.846532439028152,24.064616420146393,10.17731369802026,30.38808710450901
1301 Albion Road - Second time,3,,252824.0,-71.1551119,42.3473519,,,36.0,44.0,27.0,69.0,,,,
129 Cortland Drive Unit 12,3,,239770.0,-71.1408776,42.65717,-71.0685062,42.6874688,59.0,59.0,57.0,61.0,4.227786635788604,9.31170495906735,4.227786635788604,19.479541605624846
55 Meeshawn Ave,3,,311200.0,-71.0931485,41.9019257,-71.0253783,41.8590333,,,,,4.5725054864407735,12.07591354492361,4.5725054864407735,27.082729661889285
"41 Boston Road, Unit 474",3,,278760.0,-71.268947,42.5584264,-71.3139116,42.6229665,43.0,41.0,30.0,50.0,5.008158851138525,4.409025305663836,3.2107582147144584,5.008158851138525
"501 Commerce Drive, 2-110 ~ Braintree",3,,358670.0,-71.1755732,42.2489143,-71.0041229,42.2205956,49.0,48.333333333333336,44.0,52.0,9.745242471436965,9.961995353856947,8.980135923761488,11.160607666372385
"6 Safford Street, 3",3,,221600.0,-70.8411583,42.679273,,,46.0,46.0,40.0,52.0,,,,
"33 Intrepid Circle, 305 ~ Marblehead (First Come, First Served)",3,,311305.0,-70.9494939,42.466763,-70.8544365,42.5101138,31.0,31.333333333333332,28.0,35.0,5.690611470254966,7.870496213825018,2.9427482864309904,14.978128884789099
11-B Trail Ridge,3,,215400.0,-71.2342248,42.466763,-71.5403435,42.5053207,62.0,61.666666666666664,61.0,62.0,30.20169691658191,32.70787826639755,17.18341104706096,50.73852683554979
"110 Dillingham Ave, Unit 105 ~ Falmouth (62+)... (first come, first served)",3,,226381.0,-71.0079688,42.0190922,-70.6085826,41.5563136,65.0,43.666666666666664,0.0,66.0,37.99627765555454,32.771008205491405,0.4606136387137071,59.85613332220596
65 Metacomet Ave.,3,,263600.0,-71.0931485,41.9019257,-71.0249999,41.8609946,29.0,29.0,29.0,29.0,4.501066248343733,8.17483300254434,4.501066248343733,15.522366510945554
1305 basswood circle,3,,208800.0,-71.0786653,42.5750939,-71.0603922,42.6222821,35.0,36.666666666666664,35.0,40.0,4.744902765154666,7.700762328839267,3.3879030505002268,14.969481170862908
"110 Dillingham Ave, Unit 105 ~ Falmouth (62+) (first come, first served)",2,2.0,226381.0,-71.0079688,42.0190922,-70.6085826,41.5563136,67.5,67.5,67.0,68.0,37.99627765555454,37.99627765555454,37.99627765555454,37.99627765555454
902 Main St. Unit 39 ~ Hanson,2,2.0,325655.0,-70.97557864999999,42.3148245,-70.8725321,42.0423417,47.5,47.5,38.0,57.0,19.53816799525112,19.53816799525112,12.813181079348487,26.263154911153748
"7 Crescent Way, Unit 103 ~ Sturbridge (age restricted)",2,2.0,199585.0,-71.7812268,42.218170400000005,-72.1027364,42.115975,59.5,59.5,56.0,63.0,21.84679327005132,21.84679327005132,8.497232902607317,35.19635363749533
2 Marys Way ~ Lakeville (age restricted),2,,256800.0,-71.16806085,42.1963375,-70.9249869,41.8688392,63.5,63.5,59.0,68.0,26.932839400246053,26.932839400246053,23.305198334059618,30.56048046643249
"63 Central St., 101",2,,249896.0,-71.2039455,42.5608536,,,59.0,59.0,59.0,59.0,,,,
63 Central St. Unit 109,2,,236900.0,-71.06627805,42.44164035,-72.5804842,42.0976114,64.0,64.0,62.0,66.0,80.93338995223924,80.93338995223924,80.53998574798914,81.32679415648934
2 Hastings Circle,2,,273400.0,-71.28275595,42.39601415,-71.2333088,42.7148706,63.5,63.5,62.0,65.0,24.996261904120438,24.996261904120438,23.66397673070308,26.328547077537795
"250 Main St, Unit 317 ~ Hudson (first come, first served)",2,2.0,294561.0,-70.9697028,41.98780725,-71.5618299,42.3918807,67.0,67.0,60.0,74.0,41.601542335826345,41.601542335826345,3.1446182834128034,80.05846638823989
"501 Commerce Drive, Unit 2-201",2,,266200.0,-71.1294094,42.33128615,-70.973677,42.194028,45.5,45.5,38.0,53.0,12.392436868341843,12.392436868341843,8.798690761956474,15.986182974727212
211 East St. Unit 9,2,,188800.0,-71.8003094,42.39937675,-71.7845075,42.5898031,25.0,25.0,25.0,25.0,47.01870894666244,47.01870894666244,43.73559938984692,50.301818503477975
"248 Main Street, 204 ~ Hudson (55+)",2,,296500.0,-71.09438725,41.94565885,-71.5676895,42.3913503,70.0,70.0,66.0,74.0,47.5802756765611,47.5802756765611,14.89936260089274,80.26118875222946
"7 Crescent Way, Unit 305 ~ Sturbridge (55+) (first come, first served)",1,2.0,234500.0,-71.8644387,42.1170157,-72.1027364,42.115975,86.0,86.0,86.0,86.0,12.204996057533716,12.204996057533716,12.204996057533716,12.204996057533716
402 Yellow Birch Lane,1,,250700.0,-71.1020262,42.5260297,-71.6762539,42.4411359,,,,,29.820684592263643,29.820684592263643,29.820684592263643,29.820684592263643
Falmouth - (age restricted) 110 Dillingham,1,,,-70.6147519,41.5514979,-70.6085826,41.5563136,83.0,83.0,83.0,83.0,0.4606136387137071,0.4606136387137071,0.4606136387137071,0.4606136387137071
"902 Main St. Unit 39 ~ Hanson (first come, first served) (age restricted)",1,2.0,325655.0,-71.065573,42.2501425,-70.8725321,42.0423417,57.0,57.0,57.0,57.0,17.421641047326005,17.421641047326005,17.421641047326005,17.421641047326005
"84 Cocasset Street, Unit B2 ~ Foxborough - (first come, first serve)",1,,244852.0,-71.1447732,42.1584324,-71.2385122,42.0644887,32.0,32.0,32.0,32.0,8.070071612701291,8.070071612701291,8.070071612701291,8.070071612701291
"19 Broad Street, Unit 202",1,,235200.0,-70.8719271,42.8116592,-71.0546987,42.3587413,40.0,40.0,40.0,40.0,32.62291975488828,32.62291975488828,32.62291975488828,32.62291975488828
"18 West Road, Unit 212 ~ Orleans (age restricted)",1,2.0,235185.0,-71.0079688,42.0190922,-69.9991551,41.7827424,68.0,68.0,68.0,68.0,54.350658033144605,54.350658033144605,54.350658033144605,54.350658033144605
"7 Crescent Way, Unit 309",1,,176200.0,-71.9107903,42.5449024,-72.1027364,42.115975,82.0,82.0,82.0,82.0,31.19393998174612,31.19393998174612,31.19393998174612,31.19393998174612
"250 Main Street, Unit 211B ~ Hudson",1,2.0,212100.0,-71.5676895,42.3913503,-71.5618299,42.3918807,74.0,74.0,74.0,74.0,0.3010380908921941,0.3010380908921941,0.3010380908921941,0.3010380908921941
"250 Main Street, Unit 211B ~ Hudson (age restricted)",1,2.0,212100.0,-71.5676895,42.3913503,-71.5618299,42.3918807,74.0,74.0,74.0,74.0,0.3010380908921941,0.3010380908921941,0.3010380908921941,0.3010380908921941
